type	id	parent	name	durationYears
U	U672		Escuela Universitaria de Teología	-
U	U64		Instituto Tecnológico de Buenos Aires	-
U	U922		Instituto Universitario CEMIC	-
U	U2302		Instituto Universitario Escuela Argentina de Negocios	-
U	U924		Instituto Universitario Escuela Superior de Economía y Administración de Empresas	-
U	U2113		Instituto Universitario Italiano de Rosario	-
U	U3153		Instituto Universitario Patagónico de las Artes	-
U	U2855		Instituto Universitario River Plate	-
U	U2854		Instituto Universitario de Ciencias Biomédicas de Córdoba	-
U	U103		Instituto Universitario de Ciencias de la Salud de la Fundación Barceló	-
U	U2479		Instituto Universitario de Gendarmería Nacional	-
U	U4192		Instituto Universitario de Seguridad	-
U	U2157		Instituto Universitario de Seguridad Marítima	-
U	U59		Instituto Universitario de la Policía Federal Argentina	-
U	U4067		Instituto Universitario para el Desarrollo Productivo y Tecnológico Empresarial de la Argentina	-
U	U32		Pontificia Universidad Católica Argentina Santa María de los Buenos Aires	-
U	U740		Universidad Abierta Interamericana	-
U	U92		Universidad Adventista del Plata	-
U	U66		Universidad Argentina John F. Kennedy	-
U	U65		Universidad Argentina de la Empresa	-
U	U107		Universidad Atlántida Argentina	-
U	U93		Universidad Austral	-
U	U2117		Universidad Autónoma de Entre Ríos	-
U	U99		Universidad Blas Pascal	-
U	U62		Universidad CAECE	-
U	U68		Universidad Católica de Cuyo	-
U	U67		Universidad Católica de Córdoba	-
U	U69		Universidad Católica de La Plata	-
U	U70		Universidad Católica de Salta	-
U	U71		Universidad Católica de Santa Fe	-
U	U72		Universidad Católica de Santiago del Estero	-
U	U2852		Universidad Católica de las Misiones	-
U	U94		Universidad Champagnat	-
U	U113		Universidad Empresarial Siglo 21	-
U	U102		Universidad Favaloro	-
U	U923		Universidad Gastón Dachary	-
U	U4301		Universidad Hospital Italiano de Buenos Aires	-
U	U925		Universidad ISALUD	-
U	U82		Universidad Juan Agustín Maza	-
U	U98		Universidad Maimónides	-
U	U2853		Universidad Metropolitana para la Educación y el Trabajo	-
U	U2624		Universidad Nacional Arturo Jauretche	-
U	U3517		Universidad Nacional Guillermo Brown	-
U	U2634		Universidad Nacional José C. Paz	-
U	U4188		Universidad Nacional Madres de Plaza de Mayo	-
U	U3180		Universidad Nacional Raúl Scalabrini Ortiz	-
U	U2625		Universidad Nacional de Avellaneda	-
U	U34		Universidad Nacional de Catamarca	-
U	U2160		Universidad Nacional de Chilecito	-
U	U38		Universidad Nacional de Cuyo	-
U	U37		Universidad Nacional de Córdoba	-
U	U39		Universidad Nacional de Entre Ríos	-
U	U85		Universidad Nacional de Formosa	-
U	U87		Universidad Nacional de General Sarmiento	-
U	U2997		Universidad Nacional de Hurlingham	-
U	U40		Universidad Nacional de Jujuy	-
U	U86		Universidad Nacional de La Matanza	-
U	U41		Universidad Nacional de La Pampa	-
U	U43		Universidad Nacional de La Plata	-
U	U61		Universidad Nacional de La Rioja	-
U	U697		Universidad Nacional de Lanús	-
U	U45		Universidad Nacional de Lomas de Zamora	-
U	U46		Universidad Nacional de Luján	-
U	U47		Universidad Nacional de Mar del Plata	-
U	U48		Universidad Nacional de Misiones	-
U	U2626		Universidad Nacional de Moreno	-
U	U84		Universidad Nacional de Quilmes	-
U	U3124		Universidad Nacional de Rafaela	-
U	U51		Universidad Nacional de Rosario	-
U	U50		Universidad Nacional de Río Cuarto	-
U	U2459		Universidad Nacional de Río Negro	-
U	U52		Universidad Nacional de Salta	-
U	U3123		Universidad Nacional de San Antonio de Areco	-
U	U53		Universidad Nacional de San Juan	-
U	U54		Universidad Nacional de San Luis	-
U	U88		Universidad Nacional de San Martín	-
U	U55		Universidad Nacional de Santiago del Estero	-
U	U2633		Universidad Nacional de Tierra del Fuego, Antártida e Islas del Atlántico Sur	-
U	U698		Universidad Nacional de Tres de Febrero	-
U	U58		Universidad Nacional de Tucumán	-
U	U699		Universidad Nacional de Villa María	-
U	U2631		Universidad Nacional de Villa Mercedes	-
U	U89		Universidad Nacional de la Patagonia Austral	-
U	U42		Universidad Nacional de la Patagonia San Juan Bosco	-
U	U3101		Universidad Nacional de las Artes	-
U	U3134		Universidad Nacional de los Comechingones	-
U	U3236		Universidad Nacional del Alto Uruguay	-
U	U35		Universidad Nacional del Centro de la Provincia de Buenos Aires	-
U	U2510		Universidad Nacional del Chaco Austral	-
U	U36		Universidad Nacional del Comahue	-
U	U44		Universidad Nacional del Litoral	-
U	U49		Universidad Nacional del Nordeste	-
U	U2158		Universidad Nacional del Noroeste de la Provincia de Buenos Aires	-
U	U2632		Universidad Nacional del Oeste	-
U	U56		Universidad Nacional del Sur	-
U	U2900		Universidad Pedagógica Nacional	-
U	U3022		Universidad Provincial de Córdoba	-
U	U3148		Universidad Provincial de Ezeiza	-
U	U4141		Universidad Provincial de Laguna Blanca	-
U	U2899		Universidad Provincial del Sudoeste	-
U	U2901		Universidad Salesiana Argentina	-
U	U57		Universidad Tecnológica Nacional	-
U	U100		Universidad Torcuato Di Tella	-
U	U73		Universidad de Belgrano	-
U	U33		Universidad de Buenos Aires	-
U	U95		Universidad de Ciencias Empresariales y Sociales	-
U	U74		Universidad de Concepción del Uruguay	-
U	U112		Universidad de Congreso	-
U	U111		Universidad de Flores	-
U	U75		Universidad de Mendoza	-
U	U76		Universidad de Morón	-
U	U96		Universidad de Palermo	-
U	U97		Universidad de San Andrés	-
U	U2851		Universidad de San Isidro "Dr. Plácido Marín"	-
U	U2417		Universidad de San Pablo - T	-
U	U108		Universidad de la Cuenca del Plata	-
U	U3074		Universidad de la Defensa Nacional	-
U	U101		Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino	-
U	U81		Universidad de la Marina Mercante	-
U	U77		Universidad del Aconcagua	-
U	U110		Universidad del CEMA	-
U	U104		Universidad del Centro Educativo Latinoamericano	-
U	U3575		Universidad del Chubut	-
U	U105		Universidad del Cine	-
U	U2523		Universidad del Este	-
U	U3981		Universidad del Gran Rosario	-
U	U78		Universidad del Museo Social Argentino	-
U	U79		Universidad del Norte Santo Tomás de Aquino	-
U	U80		Universidad del Salvador	-
F	F000e2d44520a2e86ac8026a0	U740	Facultad de Ciencias Económicas - Rosario	-
F	F0037a93948ed4b480930143b	U3101	Departamento de Artes del Movimiento	-
F	F00585d385f1a6d0d9c0666f4	U3074	Centro Regional Universitario Córdoba IUA	-
F	F00ac57372ca2c426a964b1df	U3022	Extensión Áulica - Cruz Alta de la Sede Regional Marcos Juárez - Bernardo Houssay	-
F	F00ba8ec443364070cef617b7	U87	Instituto de Ciencias	-
F	F01804fdb37ada6898c2e5d68	U740	Facultad de Ciencias Económicas	-
F	F018a58ec0217f82cb90e7953	U52	Facultad de Ciencias Exactas	-
F	F018c9ecf4af261d23ae738cf	U52	Facultad de Humanidades	-
F	F01d7ddfe280b281d0da2bcc6	U104	Instituto Wesley	-
F	F020606129081734edf6cf62d	U44	Facultad de Ingeniería Química	-
F	F0228eb770f77772d102f3a82	U740	Facultad de Arquitectura	-
F	F024d8d1ae24e5bab20aa3e2e	U2634	Departamento de Ciencias de la Salud y el Deporte	-
F	F0262e9c565d495c44bf69775	U49	Facultad de Derecho y Ciencias Sociales y Políticas - Extensión Áulica Bella Vista	-
